NAME_E,id,pctlVolume_SF,pctlVolume_federal,pctlVolume_agg,pctlVolume_MF,pctlVolume_NonRes,pctlVolume_SB,pctlVolume_mission,pctlrace_agg,pctlrace_SF,pctlrace_MF,pctlrace_SB,pctlrace_mission,pctlrace_federal,pctlrace_NonRes,pctlpov_agg,pctlpov_SF,pctlpov_mission,pctlpov_federal,pctlpov_NonRes,pctlpov_SB,pctlpov_MF
"Cook County, IL",17031,52,70,55,29,86,46,88,68,55,70,79,14,78,31,79,82,96,38,83,28,44
"Los Angeles County, CA",06037,92,63,85,97,59,43,85,65,63,44,80,29,52,53,55,54,85,69,87,58,81
"Harris County, TX",48201,50,51,44,19,50,70,31,47,38,83,53,86,73,60,26,17,22,35,46,39,35
"Maricopa County, AZ",04013,79,23,83,62,87,88,34,25,23,42,36,71,85,19,36,23,40,16,62,53,61
"San Diego County, CA",06073,94,57,91,91,63,47,68,47,53,24,47,34,53,74,16,34,80,65,59,29,93
"Orange County, CA",06059,93,54,95,93,45,71,65,48,53,12,83,46,65,87,3,1,81,50,65,3,98
"Miami-Dade County, FL",12086,62,89,53,3,82,20,37,83,76,97,100,90,77,43,84,82,40,65,87,76,41
"Dallas County, TX",48113,43,19,42,34,56,65,51,41,32,85,65,83,88,74,12,4,44,19,50,16,33
"Kings County, NY",36047,72,82,31,50,66,5,86,94,67,58,91,24,99,56,78,73,78,1,67,67,40
"Riverside County, CA",06065,89,40,91,82,83,42,40,10,9,64,70,60,55,18,24,29,56,53,91,67,73
"Queens County, NY",36081,53,4,29,36,48,22,41,97,89,71,89,52,99,53,89,92,67,1,86,81,67
"King County, WA",53033,95,87,95,93,51,57,75,20,13,8,25,16,3,38,14,10,90,97,60,51,79
"Clark County, NV",32003,87,73,84,36,94,69,42,15,10,55,72,79,71,7,18,8,22,30,89,60,66
"San Bernardino County, CA",06071,75,38,66,66,44,39,65,18,14,46,94,31,65,17,80,89,74,41,72,74,69
"Tarrant County, TX",48439,51,42,48,71,61,82,44,36,31,46,47,71,68,21,29,13,8,43,38,34,38
"Bexar County, TX",48029,42,41,39,46,55,48,80,64,60,76,36,41,67,40,34,21,65,36,52,56,30
"Santa Clara County, CA",06085,99,65,99,99,64,42,59,29,34,52,85,40,67,52,8,73,84,79,79,42,88
"Broward County, FL",12011,54,25,55,6,69,26,7,23,26,72,90,92,76,30,78,79,39,39,81,79,68
"Wayne County, MI",26163,1,92,5,2,90,24,85,93,94,99,83,54,54,67,47,36,48,63,7,20,7
"Alameda County, CA",06001,96,94,96,95,64,54,86,24,19,20,59,23,45,35,35,60,97,78,78,40,91
"New York County, NY",36061,100,95,90,80,9,1,93,12,7,63,91,7,5,65,8,2,93,97,58,43,17
"Middlesex County, MA",25017,80,29,80,78,88,7,24,21,16,6,45,51,15,20,15,91,36,79,66,32,88
"Philadelphia County, PA",42101,15,60,13,96,22,17,89,86,78,50,86,35,37,72,80,62,76,65,60,65,42
"Sacramento County, CA",06067,76,79,69,94,58,37,51,74,42,17,22,36,18,26,49,44,73,83,37,56,72
