NAME_E,id,pctlVolume_SF,pctlVolume_federal,pctlVolume_agg,pctlVolume_MF,pctlVolume_NonRes,pctlVolume_SB,pctlVolume_mission,pctlrace_agg,pctlrace_SF,pctlrace_MF,pctlrace_SB,pctlrace_mission,pctlrace_federal,pctlrace_NonRes,pctlpov_agg,pctlpov_SF,pctlpov_mission,pctlpov_federal,pctlpov_NonRes,pctlpov_SB,pctlpov_MF
"Suffolk County, NY",36103,48,13,54,85,4,8,2,93,100,95,74,98,75,87,20,51,18,33,68,15,56
"Palm Beach County, FL",12099,50,10,56,5,85,26,14,53,39,63,84,94,69,33,42,51,26,32,75,58,49
"Bronx County, NY",36005,35,97,3,16,82,1,93,90,86,58,99,26,1,23,93,74,80,99,88,70,42
"Hillsborough County, FL",12057,60,74,53,44,60,47,20,78,61,51,94,89,59,40,41,22,23,36,61,54,27
"Nassau County, NY",36059,59,22,66,26,8,9,5,38,83,88,55,85,52,96,11,57,46,71,58,35,71
"Orange County, FL",12095,67,71,63,57,35,28,17,56,50,36,64,80,84,23,44,20,34,25,84,46,75
"Franklin County, OH",39049,37,62,28,73,19,51,61,39,37,43,32,50,39,93,36,21,49,48,36,21,4
"Oakland County, MI",26125,34,48,46,6,60,56,81,30,47,98,54,45,88,95,6,5,60,11,24,33,19
"Cuyahoga County, OH",39035,6,83,6,10,53,18,80,92,88,92,76,43,20,94,56,42,58,87,19,29,12
"Hennepin County, MN",27053,60,86,60,45,9,72,79,51,91,19,2,3,9,55,34,52,93,81,28,6,59
"Travis County, TX",48453,86,83,79,77,79,66,52,19,17,38,12,90,56,13,20,14,20,22,55,15,46
"Allegheny County, PA",42003,9,71,5,13,1,49,46,54,45,67,20,73,11,98,53,37,25,72,20,17,20
"Fairfax County, VA",51059,96,3,98,29,66,58,49,4,2,100,67,40,96,10,98,100,73,5,99,97,9
"Contra Costa County, CA",06013,97,67,98,89,81,69,74,12,12,20,43,20,51,27,13,63,92,67,92,49,94
"Salt Lake County, UT",49035,74,51,84,81,47,66,76,18,11,7,8,8,16,16,77,87,88,79,61,73,80
"Mecklenburg County, NC",37119,73,32,78,65,74,90,53,58,50,41,22,28,99,24,68,46,77,1,71,62,60
"Wake County, NC",37183,78,29,82,64,24,93,36,17,20,13,14,24,50,58,29,70,45,34,23,20,69
"Montgomery County, MD",24031,90,24,93,66,50,17,55,19,40,53,37,78,82,51,3,58,43,25,76,22,86
"Fulton County, GA",13121,88,100,87,35,28,91,74,20,15,61,17,65,29,59,40,26,48,78,50,10,18
"Pima County, AZ",04019,39,19,32,22,65,48,4,69,57,58,61,91,49,57,48,44,14,49,26,72,54
"St. Louis County, MO",29189,29,9,43,43,55,68,56,17,32,10,10,32,91,49,15,13,41,15,78,14,63
"Honolulu County, HI",15003,88,47,80,7,59,23,59,27,23,86,93,38,70,65,72,72,65,39,75,83,51
"Fresno County, CA",06019,57,68,41,63,43,4,56,64,57,67,68,49,34,54,51,43,52,55,48,46,41
"Collin County, TX",48085,86,4,94,73,99,96,32,13,10,13,15,86,90,1,93,88,29,12,98,87,83
"Westchester County, NY",36119,78,69,75,37,16,13,38,9,27,65,87,47,19,92,4,3,64,83,42,24,51
"Pinellas County, FL",12103,18,25,19,8,21,59,9,52,49,15,79,88,47,36,86,80,19,47,68,86,68
"Marion County, IN",18097,13,87,19,47,52,68,43,79,66,69,40,62,30,57,54,35,54,68,57,31,24
"Milwaukee County, WI",55079,11,93,8,51,13,60,94,98,95,76,89,10,16,69,76,53,94,94,48,38,31
"Fairfield County, CT",09001,91,70,92,79,5,19,47,4,8,33,63,45,32,96,1,1,60,72,22,8,66
"Shelby County, TN",47157,19,78,15,20,12,57,82,74,65,90,48,27,61,82,48,25,42,47,38,32,11
"Duval County, FL",12031,43,33,36,38,18,31,25,37,21,41,46,65,60,48,51,24,62,37,39,57,29
"Bergen County, NJ",34003,70,8,76,72,38,63,17,44,69,18,86,42,65,61,5,29,77,72,82,93,99
"DuPage County, IL",17043,53,6,71,25,73,61,19,10,17,49,78,38,87,2,98,96,79,18,99,100,84
"Erie County, NY",36029,2,61,1,50,1,9,20,95,97,81,50,93,13,99,58,57,16,82,21,35,8
"Gwinnett County, GA",13135,58,1,59,83,37,93,9,71,61,22,18,98,98,37,86,84,11,3,86,83,90
"Prince George's County, MD",24033,71,26,73,65,96,22,44,46,56,87,92,82,95,50,31,64,33,26,80,53,80
"Hartford County, CT",09003,32,53,30,26,14,10,29,61,79,57,78,43,22,84,32,28,55,85,16,22,51
"Kern County, CA",06029,59,75,46,70,51,12,22,60,70,85,81,64,10,75,22,20,50,90,42,45,43
"Pierce County, WA",53053,73,45,70,98,63,74,87,49,25,1,28,17,20,29,85,74,86,75,56,90,87
"San Francisco County, CA",06075,99,93,96,100,25,18,93,46,27,30,65,21,8,32,95,67,98,99,80,72,21
"Macomb County, MI",26099,7,28,14,8,90,44,55,84,93,89,44,64,71,51,40,30,13,12,13,44,14
"New Haven County, CT",09009,25,78,20,27,6,16,22,45,77,53,55,63,13,86,28,27,36,88,37,26,54
"Ventura County, CA",06111,92,50,93,93,76,40,35,25,21,47,43,57,53,33,74,89,71,76,93,61,92
"Denton County, TX",48121,89,13,88,59,93,95,22,29,19,12,8,69,92,4,23,12,51,6,54,57,79
"Baltimore County, MD",24005,43,20,44,36,36,14,13,58,87,84,64,81,97,89,27,23,3,4,13,23,37
"Middlesex County, NJ",34023,51,59,64,53,96,43,33,83,93,62,98,91,72,89,35,75,56,45,8,55,89
"Worcester County, MA",25027,44,58,38,24,71,2,65,43,58,34,58,25,10,62,36,59,66,87,26,37,49
"Montgomery County, PA",42091,49,5,57,87,7,52,4,16,35,40,24,77,35,97,8,18,32,69,18,13,72
"Hamilton County, OH",39061,18,52,18,16,15,73,92,77,80,62,29,9,14,99,66,39,89,88,19,18,18
"Multnomah County, OR",41051,74,82,70,86,33,29,90,31,30,4,39,4,6,25,65,76,97,95,36,69,76
"Snohomish County, WA",53061,86,63,89,95,84,72,68,6,3,1,33,22,17,8,72,95,88,86,76,90,97
"Suffolk County, MA",25025,95,97,75,79,83,2,96,65,31,17,92,9,6,24,94,93,85,92,74,68,52
"Essex County, NJ",34013,77,93,62,91,67,33,91,33,64,52,56,26,11,72,14,22,86,96,29,8,64
"Oklahoma County, OK",40109,28,100,37,53,37,67,66,68,67,60,57,52,89,79,41,14,21,16,14,17,22
"Essex County, MA",25009,66,61,62,56,84,14,43,60,92,24,70,58,21,88,17,66,61,89,22,11,81
"San Mateo County, CA",06081,98,44,99,99,62,56,53,11,14,29,82,57,40,58,4,7,79,84,94,86,100
"Jefferson County, KY",21111,21,76,21,28,11,85,70,61,65,71,22,48,18,68,39,24,57,80,16,34,16
"Fort Bend County, TX",48157,81,10,92,83,97,98,35,50,75,79,9,86,93,49,7,9,37,15,32,29,44
"Cobb County, GA",13067,63,15,64,80,34,92,3,35,22,11,42,67,80,18,71,78,42,17,79,96,85
"DeKalb County, GA",13089,57,53,49,49,70,86,19,58,36,59,50,75,86,59,69,70,20,22,84,58,58
"Monroe County, NY",36055,4,74,4,33,5,25,30,59,68,75,13,85,8,93,50,36,19,86,11,10,2
"San Joaquin County, CA",06077,87,46,81,58,89,51,50,27,16,77,66,54,48,17,33,36,27,62,65,59,32
"Lee County, FL",12071,45,11,47,3,79,49,39,84,59,93,93,56,95,63,62,71,12,11,17,62,24
"Denver County, CO",08031,93,98,89,87,28,81,94,36,22,40,41,11,1,11,60,49,98,100,63,66,33
"Lake County, IL",17097,52,69,69,49,88,80,21,7,18,77,13,74,43,42,2,1,31,58,5,1,40
"Norfolk County, MA",25021,82,15,86,67,91,6,57,43,18,29,97,44,56,32,5,85,61,70,70,75,67
"El Paso County, CO",08041,82,43,78,85,29,58,47,8,8,25,1,36,74,6,19,31,46,36,46,43,77
"Jackson County, MO",29095,16,77,26,51,80,39,95,82,76,66,63,8,26,31,66,55,87,76,59,49,36
"District of Columbia, DC",11001,98,90,94,64,68,3,99,6,4,39,41,1,4,68,27,15,99,93,20,25,13
"Will County, IL",17197,45,17,65,15,100,73,42,34,43,96,23,43,96,8,43,40,69,5,96,54,25
"Davidson County, TN",47037,64,73,57,59,16,83,39,54,40,15,42,42,41,38,79,68,63,54,47,73,55
"Polk County, FL",12105,13,29,13,48,74,13,83,85,72,86,100,18,74,47,70,56,91,24,27,72,29
"Bernalillo County, NM",35001,29,89,34,32,43,50,92,88,86,80,75,10,80,54,53,40,87,23,31,68,35
"Hudson County, NJ",34017,94,85,68,88,95,29,62,69,30,47,98,62,38,29,77,27,47,93,98,64,90
"Jefferson County, AL",01073,20,40,22,54,4,96,36,56,51,88,19,84,66,100,22,11,8,46,22,9,15
"Kent County, MI",26081,17,85,37,21,27,99,84,28,58,30,1,70,2,78,33,25,45,98,4,5,45
"Tulsa County, OK",40143,26,80,33,55,24,84,63,21,24,72,3,30,33,45,15,8,29,52,5,1,12
"Arapahoe County, CO",08005,83,81,85,72,36,88,77,3,3,9,19,11,79,4,92,93,91,21,93,97,86
"Providence County, RI",44007,34,88,16,47,3,12,77,81,90,61,73,19,3,90,55,86,70,96,27,27,34
"Monmouth County, NJ",34025,63,72,72,61,53,55,12,28,80,35,59,80,46,71,17,69,36,58,77,43,84
"Baltimore city, MD",24510,27,91,17,60,40,8,97,44,35,91,72,14,37,98,25,11,72,91,40,28,1
"Johnson County, KS",20091,65,1,72,79,41,72,40,5,13,7,9,48,81,26,1,3,72,18,1,7,74
"Washington County, OR",41067,79,21,76,84,29,34,27,5,5,3,48,37,45,21,97,96,69,66,82,95,94
"Brevard County, FL",12009,28,15,24,5,38,20,2,11,9,16,38,87,39,9,82,71,16,46,72,75,61
"Jefferson County, CO",08059,68,81,81,75,77,86,73,13,38,6,60,18,29,16,23,78,92,63,8,94,95
"Montgomery County, TX",48339,68,8,77,81,72,92,25,9,15,25,10,92,77,39,16,9,38,15,92,84,22
"Anne Arundel County, MD",24003,79,21,87,60,62,36,10,55,36,16,8,95,75,11,85,97,37,30,100,47,82
"Delaware County, PA",42045,31,54,41,61,80,32,33,40,47,23,31,89,33,77,12,5,24,68,54,6,62
"Douglas County, NE",31055,40,65,43,43,33,55,60,22,48,65,32,58,26,63,10,7,44,64,3,5,46
"New Castle County, DE",10003,41,35,50,75,35,65,54,70,90,51,66,51,60,61,72,64,59,35,41,71,79
"Union County, NJ",34039,66,67,65,92,71,25,50,30,82,35,73,83,15,56,11,83,55,94,90,23,78
"Williamson County, TX",48491,83,35,86,94,85,84,18,8,7,9,23,60,78,9,89,85,28,26,88,96,87
"Ramsey County, MN",27123,30,86,29,40,13,31,86,99,98,33,29,1,2,78,75,72,95,95,36,31,50
"Stanislaus County, CA",06099,69,17,58,32,32,22,43,80,44,54,60,29,64,55,38,59,59,43,17,52,55
"Summit County, OH",39153,8,68,8,9,56,24,16,76,75,93,31,61,12,66,49,28,29,71,12,21,10
"Volusia County, FL",12127,12,44,9,9,34,11,16,72,62,79,53,63,64,41,90,77,32,40,71,89,48
"Dane County, WI",55025,55,56,54,78,41,36,72,51,43,4,4,8,7,10,68,50,54,34,58,36,10
"Montgomery County, OH",39113,4,64,4,17,49,60,48,80,78,68,39,59,36,72,54,42,26,59,11,22,16
"Kane County, IL",17089,47,27,61,57,93,85,45,52,73,80,26,39,63,8,59,62,76,55,97,69,57
"Guilford County, NC",37081,22,49,36,38,69,91,72,93,92,36,28,33,58,37,63,48,51,29,49,60,63
"Pasco County, FL",12101,32,31,32,7,93,35,3,3,5,99,88,74,87,5,71,65,11,8,91,77,13
"Chester County, PA",42029,61,16,77,92,72,62,67,15,29,10,43,65,44,70,39,75,43,51,44,44,89
"Sedgwick County, KS",20173,15,28,15,39,23,67,8,39,51,11,45,100,47,62,18,12,9,40,6,12,65
"Greenville County, SC",45045,42,79,45,43,17,87,64,66,71,45,16,72,19,81,58,56,41,84,51,48,27
"Camden County, NJ",34007,14,91,24,44,61,51,57,62,66,73,33,66,9,34,61,37,50,91,53,26,15
"Adams County, CO",08001,77,55,79,88,40,79,76,32,33,19,96,13,42,20,21,16,90,60,65,88,82
"Passaic County, NJ",34031,55,88,45,42,51,58,23,96,86,37,69,79,23,69,63,81,35,82,45,33,71
"Sonoma County, CA",06097,72,64,74,100,72,30,95,16,8,2,25,2,28,84,97,97,100,77,3,93,100
"Morris County, NJ",34027,70,7,88,68,81,43,5,32,84,32,56,96,63,79,1,4,7,58,45,1,96
"Lake County, IN",18089,10,72,11,12,48,38,58,82,85,96,61,97,55,71,32,22,7,59,2,9,6
"Polk County, IA",19153,37,92,52,62,70,75,51,75,64,32,1,23,1,73,57,53,68,100,39,15,47
"Richmond County, NY",36085,47,49,38,10,42,4,15,86,74,43,74,58,99,22,70,84,34,1,56,42,50
"Clark County, WA",53011,72,34,71,90,78,28,60,8,4,2,58,46,25,2,73,87,75,64,85,86,93
"Hampden County, MA",25013,14,84,7,8,30,1,82,94,96,91,87,25,7,97,67,65,67,93,32,45,25
"Onondaga County, NY",36067,5,47,2,22,1,15,18,72,68,74,44,68,8,100,57,45,25,75,23,36,6
"Tulare County, CA",06107,36,75,16,46,20,3,15,85,79,38,52,99,5,80,30,17,9,92,30,25,1
"Prince William County, VA",51153,97,6,100,72,95,53,34,2,2,84,51,32,98,3,81,98,58,1,100,93,53
"Seminole County, FL",12117,56,22,58,52,27,41,1,38,28,27,15,79,86,25,51,48,14,29,64,37,59
"Washoe County, NV",32031,75,96,72,45,75,50,28,15,12,31,34,41,28,3,37,32,49,66,67,79,58
"Virginia Beach city, VA",51810,67,12,65,39,46,29,1,49,49,28,4,88,72,44,30,83,23,27,79,64,70
"Burlington County, NJ",34005,33,51,50,48,92,45,11,14,41,70,3,87,90,19,19,33,6,14,97,2,92
"Santa Barbara County, CA",06083,85,72,73,76,65,5,49,59,41,34,68,53,24,30,79,81,43,70,40,59,74
"East Baton Rouge Parish, LA",22033,26,60,34,54,14,80,88,87,81,93,30,56,36,93,56,41,38,56,52,16,26
"Solano County, CA",06095,90,18,86,86,58,33,75,51,22,22,69,37,57,42,21,55,82,52,47,81,93
"Jefferson Parish, LA",22051,8,37,12,14,67,71,29,98,97,75,93,96,62,58,67,50,17,45,93,70,39
"Monterey County, CA",06053,85,80,68,69,68,7,37,70,44,50,75,39,27,46,91,93,51,85,77,63,57
"Pinal County, AZ",04021,62,3,59,1,100,75,26,35,34,100,77,73,73,13,46,45,17,23,73,78,9
"Lucas County, OH",39095,2,90,3,11,39,65,21,43,56,79,12,100,14,85,59,38,12,89,12,18,2
"Dakota County, MN",27037,51,14,60,65,76,78,58,26,26,3,7,15,89,12,28,68,86,20,1,74,91
"Berks County, PA",42011,8,18,10,52,26,76,64,86,94,83,7,29,58,91,47,49,65,32,9,2,15
"Mobile County, AL",01097,3,66,6,42,18,99,72,88,87,90,15,31,54,85,44,31,5,61,10,4,3
"Richland County, SC",45079,38,79,35,23,11,90,81,79,77,72,17,15,31,64,60,41,68,57,21,30,26
"Genesee County, MI",26049,1,41,1,4,78,44,91,75,82,97,81,22,48,65,46,34,1,31,4,19,8
"Charleston County, SC",45019,81,23,79,58,17,87,52,95,85,59,90,55,57,83,83,80,58,48,51,94,75
"Loudoun County, VA",51107,100,2,100,89,57,81,71,1,1,18,29,21,97,6,99,100,84,6,96,100,95
"Pulaski County, AR",05119,21,50,25,34,10,78,98,67,52,43,27,1,31,41,75,54,95,49,66,63,28
"Orleans Parish, LA",22071,36,99,40,28,42,95,100,65,58,82,34,7,12,95,74,47,93,90,24,48,20
"Placer County, CA",06061,93,26,97,77,91,77,63,1,1,5,79,17,91,1,100,99,82,8,95,99,96
"Manatee County, FL",12081,49,42,51,21,75,61,29,42,46,37,76,30,46,14,31,18,52,37,89,77,65
"Orange County, NY",36071,33,66,22,4,2,10,28,89,72,69,86,28,23,77,83,94,53,43,34,85,17
"Forsyth County, NC",37067,20,12,20,18,10,97,58,67,73,57,20,35,81,79,61,52,57,19,41,51,45
"Allen County, IN",18003,10,33,25,15,92,70,46,63,63,94,14,47,34,94,43,26,2,33,10,24,11
"Collier County, FL",12021,61,7,74,2,97,64,36,100,99,78,52,78,76,34,76,63,5,22,86,41,39
"Mercer County, NJ",34021,48,84,52,31,52,32,69,22,24,94,46,72,41,83,10,6,64,73,69,3,7
"Washtenaw County, MI",26161,35,99,47,30,98,63,71,41,33,48,24,49,59,12,38,33,10,10,74,27,37
"Lehigh County, PA",42077,22,96,35,70,25,77,1,45,84,14,30,82,35,80,50,67,21,50,28,39,76
"Madison County, AL",01089,41,14,39,30,3,98,10,34,29,64,11,94,86,70,29,16,30,9,9,41,23
"Nueces County, TX",48355,15,55,15,17,65,36,84,91,95,81,80,27,40,44,81,47,62,81,35,92,38
"Hamilton County, TN",47065,23,36,22,37,8,83,32,91,81,56,95,36,50,91,90,79,75,53,43,91,36
"Brazoria County, TX",48039,40,24,40,74,30,53,6,23,28,49,5,77,70,52,24,19,18,42,14,50,62
"Marion County, FL",12083,3,43,2,11,79,27,8,89,89,95,99,95,79,36,84,65,15,20,72,78,31
"Osceola County, FL",12097,65,34,58,23,86,27,15,79,39,65,88,72,82,22,82,92,47,27,55,91,73
"Bell County, TX",48027,54,22,27,13,21,19,30,78,36,48,82,99,51,35,65,58,10,44,44,65,47
"Lake County, FL",12069,27,30,23,24,22,15,8,29,20,87,95,81,93,48,91,86,27,13,81,80,34
"Chesterfield County, VA",51041,64,1,67,96,7,40,31,26,43,44,11,50,94,66,9,6,66,13,57,7,83
"Marion County, OR",41047,38,16,28,69,39,6,54,92,55,8,62,33,44,86,94,91,89,67,33,87,85
"Galveston County, TX",48167,46,46,42,27,57,59,24,40,42,51,6,93,58,92,22,15,3,41,8,11,43
"Cumberland County, NC",37051,29,56,11,15,15,94,66,73,72,45,5,75,32,29,95,88,35,74,73,89,30
"Horry County, SC",45051,24,8,36,1,32,100,27,81,88,89,40,68,79,50,96,86,24,10,83,98,21
"Somerset County, NJ",34035,71,59,93,86,94,62,14,22,52,23,72,69,83,15,13,61,4,62,85,55,99
"Henrico County, VA",51087,58,20,51,63,6,34,11,31,59,22,35,84,51,88,7,10,22,57,43,14,56
"Rockland County, NY",36087,46,11,49,19,22,41,45,76,99,60,71,44,69,60,65,90,28,9,25,84,19
"Boulder County, CO",08013,84,86,90,97,43,82,98,57,37,21,77,3,30,46,87,94,100,38,53,80,86
"Fayette County, KY",21067,39,76,31,31,12,89,23,63,48,21,54,55,42,64,64,66,33,24,33,82,53
"Howard County, MD",24027,91,31,97,35,86,45,62,7,6,27,27,19,62,5,99,99,74,60,94,98,97
"Rutherford County, TN",47149,58,30,56,55,54,93,6,42,25,15,26,93,92,43,62,69,13,4,7,82,58
"Escambia County, FL",12033,12,27,9,14,8,97,83,97,74,26,36,20,61,90,73,43,63,28,49,85,23
"St. Lucie County, FL",12111,36,36,33,1,73,35,7,50,54,98,97,67,85,28,92,77,30,21,63,88,14
"Durham County, NC",37063,56,38,51,84,31,64,96,99,98,54,65,13,29,51,64,51,94,74,30,40,36
"St. Louis city, MO",29510,16,95,17,40,29,23,100,90,62,31,67,2,4,45,88,60,99,98,69,65,5
"Lorain County, OH",39093,9,45,7,22,54,16,26,53,54,86,16,66,22,76,43,29,15,44,15,13,4
"Spartanburg County, SC",45083,7,94,10,41,47,74,61,96,96,55,71,76,38,67,69,46,31,51,35,38,32
"Albany County, NY",36001,17,58,8,56,2,8,73,36,46,56,57,4,15,81,42,39,83,73,18,36,5
"Weld County, CO",08123,80,43,82,29,49,79,79,33,45,82,96,53,93,86,9,8,2,7,25,71,43
"Lubbock County, TX",48303,23,2,21,41,26,76,99,77,60,74,49,12,68,82,25,15,1,3,29,12,3
"Northampton County, PA",42095,22,36,29,90,20,79,67,73,91,5,37,61,22,76,52,58,39,77,15,51,72
"Dutchess County, NY",36027,25,39,27,33,36,11,70,14,15,42,62,15,25,15,96,95,79,61,70,92,52
"Anchorage Municipality, AK",02020,84,39,83,20,31,100,79,2,6,36,35,22,17,22,2,2,72,86,62,50,70
"Gloucester County, NJ",34015,24,77,48,68,99,54,12,72,83,8,84,51,43,28,45,61,8,28,6,52,78
"Ingham County, MI",26065,5,98,14,12,89,52,78,100,100,68,21,12,21,47,87,79,81,29,51,76,29
"Lexington County, SC",45063,19,5,26,74,15,89,87,55,65,66,38,6,84,75,26,30,1,8,29,61,22
"Leon County, FL",12073,30,9,23,71,23,38,97,71,69,39,85,16,66,39,58,43,70,31,43,47,48
"Chatham County, GA",13051,44,58,43,76,46,94,38,48,51,26,21,76,72,43,88,76,53,51,64,79,64
"Winnebago County, IL",17201,1,32,1,25,19,15,69,57,70,73,58,70,24,36,45,38,4,54,2,30,1
"Clayton County, GA",13063,6,37,12,18,98,86,41,87,93,78,49,97,94,7,93,72,15,14,95,95,65
"San Luis Obispo County, CA",06079,69,65,61,51,45,30,90,24,11,29,51,5,27,14,86,90,78,17,34,66,60
"Thurston County, WA",53067,65,52,63,98,87,21,89,1,1,1,6,5,43,1,100,98,96,42,90,99,98
"Cleveland County, OK",40027,31,62,30,58,77,37,13,37,29,14,2,59,83,15,52,32,6,7,15,19,28
"Dauphin County, PA",42043,11,48,18,67,44,46,78,66,79,28,18,6,36,73,37,35,83,56,31,4,8
"Santa Cruz County, CA",06087,76,57,67,82,58,21,48,62,71,92,51,34,49,27,6,19,71,80,1,8,77
