NAME_E,id,stateabrev,pctlVolume_SF,pctlVolume_federal,pctlVolume_agg,pctlVolume_MF,pctlVolume_NonRes,pctlVolume_SB,pctlVolume_mission,pctlrace_agg,pctlrace_SF,pctlrace_MF,pctlrace_SB,pctlrace_mission,pctlrace_federal,pctlrace_NonRes,pctlpov_agg,pctlpov_SF,pctlpov_mission,pctlpov_federal,pctlpov_NonRes,pctlpov_SB,pctlpov_MF
"Abilene, TX",4801000,TX,21,42,18,28,34,27,96,47,56,98,33,11,75,65,76,79,8,11,34,41,41
"Odessa, TX",4853388,TX,12,22,8,23,7,2,73,61,43,55,99,24,50,98,35,23,3,48,32,86,24
"North Charleston, SC",4550875,SC,44,50,39,58,15,74,45,73,50,61,57,98,63,85,56,28,49,34,35,98,55
"Victorville, CA",0682590,CA,78,55,66,45,28,15,35,6,44,41,65,41,54,64,81,98,74,55,22,98,78
"Hartford, CT",0937000,CT,15,85,5,32,1,1,72,100,99,97,94,71,53,94,98,87,58,84,65,67,51
"Vallejo, CA",0681666,CA,72,19,62,72,27,14,53,46,46,13,93,15,59,22,36,48,83,65,71,96,86
"Allentown, PA",4202000,PA,14,99,12,33,19,70,1,73,85,44,20,89,26,99,76,92,28,60,42,20,70
"Berkeley, CA",0606000,CA,82,69,82,100,52,46,94,63,14,23,36,2,15,21,83,43,93,32,79,61,70
"Richardson, TX",4861796,TX,37,1,66,97,12,23,78,11,29,32,8,3,98,12,29,5,94,3,28,1,97
"Arvada, CO",0803455,CO,65,74,74,52,69,85,52,33,54,19,96,94,89,25,9,25,18,24,10,90,90
"Ann Arbor, MI",2603000,MI,39,100,55,50,88,52,81,56,59,89,32,34,24,3,84,87,32,1,91,82,61
"Cambridge, MA",2511000,MA,87,45,72,92,92,4,16,95,83,15,81,53,26,23,98,100,41,55,94,63,1
"Rochester, MN",2754880,MN,35,53,42,64,1,84,25,38,42,2,11,82,47,100,48,33,38,54,62,50,83
"Sugar Land, TX",4870808,TX,64,15,92,1,98,97,22,19,64,99,21,36,92,1,1,8,1,6,1,100,40
"College Station, TX",4815976,TX,55,9,32,12,95,52,67,8,37,33,39,2,77,13,61,81,3,13,60,57,64
"Evansville, IN",1822000,IN,5,90,6,23,7,32,32,54,82,75,49,59,9,75,78,77,35,92,38,84,17
