NAME_E,id,stateabrev,pctlVolume_SF,pctlVolume_federal,pctlVolume_agg,pctlVolume_MF,pctlVolume_NonRes,pctlVolume_SB,pctlVolume_mission,pctlrace_agg,pctlrace_SF,pctlrace_MF,pctlrace_SB,pctlrace_mission,pctlrace_federal,pctlrace_NonRes,pctlpov_agg,pctlpov_SF,pctlpov_mission,pctlpov_federal,pctlpov_NonRes,pctlpov_SB,pctlpov_MF
"St. Petersburg, FL",1263000,FL,30,32,27,12,8,55,10,86,75,44,51,92,72,51,58,52,29,48,66,78,57
"Fort Wayne, IN",1825000,IN,9,35,20,11,88,61,39,43,55,40,29,89,44,26,67,68,18,34,22,41,14
"Jersey City, NJ",3436000,NJ,92,86,71,79,92,32,72,70,29,66,83,74,8,28,39,2,62,96,81,38,76
"Chandler, AZ",0412000,AZ,85,3,90,74,85,94,6,4,4,17,55,86,97,10,21,29,21,3,9,79,69
"Madison, WI",5548000,WI,43,69,45,63,32,33,79,57,66,13,64,9,16,32,85,78,65,26,75,74,19
"Lubbock, TX",4845000,TX,17,11,15,27,30,72,95,78,65,75,63,15,75,66,64,64,2,6,66,37,23
"Reno, NV",3260600,NV,63,97,60,35,60,42,26,19,7,46,50,38,23,27,32,25,69,79,35,66,50
"Buffalo, NY",3611000,NY,2,89,1,15,3,8,63,98,95,70,90,80,23,97,88,82,38,81,58,64,22
"Gilbert, AZ",0427400,AZ,89,3,91,53,92,91,9,41,16,56,31,97,83,33,8,1,12,19,5,25,55
"Glendale, AZ",0427820,AZ,51,10,61,55,98,81,3,22,45,63,15,91,88,41,32,45,24,15,31,23,54
"North Las Vegas, NV",3251800,NV,91,24,89,36,100,63,34,9,3,60,67,65,34,22,18,12,11,51,7,90,65
"Winston-Salem, NC",3775000,NC,21,23,22,14,10,91,59,39,38,73,24,72,66,77,63,62,37,27,58,45,60
"Chesapeake, VA",5116000,VA,63,27,69,66,46,30,4,54,71,36,78,93,61,44,24,40,20,49,95,30,75
"Norfolk, VA",5157000,VA,48,61,37,22,29,29,55,75,75,90,96,87,43,91,80,84,34,38,70,77,39
"Fremont, CA",0626000,CA,97,41,98,75,40,62,41,40,34,27,36,52,89,20,99,71,22,63,100,87,91
"Irving, TX",4837000,TX,46,15,46,34,64,67,38,31,6,86,92,74,68,39,14,4,9,23,41,21,57
"Garland, TX",4829000,TX,15,20,18,47,86,56,1,63,73,38,18,77,55,14,53,50,46,53,9,14,63
"Paradise, NV",3254600,NV,42,13,52,15,76,26,21,18,35,29,57,75,95,7,49,20,18,9,90,62,77
"Arlington, VA",5103000,VA,99,78,97,35,96,18,93,5,6,49,18,26,15,18,4,19,2,95,30,6,19
"Richmond, VA",5167000,VA,46,75,44,77,13,40,86,41,29,36,49,10,21,89,64,42,87,74,43,58,62
